class,sl3,sl6,sl12,sl20,sl30,sl60,sl90
1,-0.0037840359567158743,-0.0006768188166662335,-0.0005085080285054817,5.8652403778444166e-05,0.0001301718935002159,-0.000948803314917128,-0.0007732673857087015
0,0.0029050714044769935,-0.0005478694874484221,-0.00019309790925833986,0.0005328397852880095,0.0003299402698623051,-0.0008263061415899108,-0.0006916315800202361
1,-0.00040611966812951296,-0.0030926720768427347,-0.0012135956835839755,-0.00013102170737376792,-9.20138152580911e-05,-0.0008882967147669567,-0.0007054291944477763
1,-0.00021871085169838258,-0.0020001319896167024,-0.0005628520927580476,-4.68530681158754e-05,-0.00014630153752907894,-0.0008437228922721703,-0.0006347801775017215
0,0.0016412687429143691,0.0022803220780338346,-0.00011539997283695495,4.1633974063034115e-05,0.00022492081324517181,-0.00040294700590365687,-0.0005096394681457088
1,0.0002033075356314753,-0.00010152991703236714,-0.0008852530213073659,-0.0004092248087080262,-0.0001090439936887054,-0.0005822021870286573,-0.0006211915648006836
0,0.008253996621876163,0.004014935027142261,0.0016609059545158273,0.0006325878238603569,0.0007215868542737304,-8.876532815014494e-05,-0.00040377336763444796
0,0.004113893330508629,0.00288770904351407,0.0011651735150121133,0.0007837476050700811,0.0007357967802367468,-4.250823443902035e-05,-0.00035555580110497215
0,0.008986621697549177,0.004597705188456798,0.0007098589724453454,0.001013137260536432,0.0008297836360403429,-0.00010209683042706223,-0.0003924737034932149
0,-0.00021356765243929273,0.004017570304695771,0.000984612144878666,0.0006001473751049524,0.0009401371533696526,-0.00019163226004619192,-0.00040024151993710673
1,-0.002465634806606299,0.0008089142240716131,0.0015501519059458822,0.00025196393547899886,0.0006678559966495246,-0.00023358105467309687,-0.0004750724958882955
1,-0.0025110624230062543,0.0032039306851897285,0.0015502244996287464,0.0006288457443726521,0.0006838505395016805,-0.00031148420949528847,-0.00044550431861070677
0,-0.0005647830264714844,-0.000388994410377737,0.0018082849465314978,0.0003138850180663108,0.0006691299517231638,-0.0002038964685622535,-0.0004150846722254922
0,0.001487345330913808,-0.0004946456134722622,0.0011922465371868288,0.0006471201719634418,0.0007699648849259931,-0.00016773966964904916,-0.00043278639571539546
1,-0.0001380255741552702,-0.0013240241123317496,0.0016185781204697952,0.0007118157040745059,0.0001742519397806857,-0.0002165191216554521,-0.0004470946820490337
0,-0.00045872018348624435,-0.000511362988918565,0.0017469403476110042,0.000395849798697861,0.0004123270223506729,-6.102234935164026e-05,-0.00043546085864286626
0,-0.0007785232302381905,0.0003526741510005548,0.0005816500369477041,0.00015425292881375395,0.00031977121908010323,-8.676187451264339e-05,-0.00036454936146889126
0,0.0025772133310651914,0.0012190602964303493,0.0022232128448825277,0.0007297733986265677,0.000516315899542828,8.414850027115235e-05,-0.0002266659717760949
0,0.001270865122397479,0.0004051980122324187,7.628941641777124e-06,0.0011971701452269743,0.0005977899083187206,1.9088632425120483e-05,-0.0002882404400044656
0,0.0010557523999639798,0.00013738169320976707,-0.00017883582588700033,0.0012019092132157085,0.0004263592567724509,0.00015005286763106055,-0.0002901565239000052
0,-0.00016745063935338675,0.0012042340118258471,-6.46783548585935e-05,0.0012864990693747785,0.00039451347888639146,0.0001879064644786984,-0.0003638722111246639
0,-0.00024406107587394274,0.0005129367701981737,0.0,0.0007176690854592547,0.0005729461089868138,0.00011140797017095033,-0.00036132952177387906
0,-0.0008846374707565454,8.41565274044432e-05,0.00021850437869805954,0.001128316475580102,0.00020310315209458028,0.00012169963054888698,-0.0003658018475162535
0,0.00035029242278035444,9.1332906678251e-05,0.0006555306225151672,0.0013741031069568687,0.0005442917050453452,0.00038765081630477737,-0.0003287518704704056
0,0.00013739982912945763,-5.3380924297425924e-05,0.00017584365443424707,0.0004899720438193908,0.0006565848116617302,0.0004152015911699563,-0.00038967349874478266
0,0.0010552195782718404,8.389082358942472e-05,0.00011067083358976434,0.0012589073108538388,0.00041051112527174514,0.0008071598221618493,-0.0003389549077238285
0,-0.0022060903836674567,-0.0009290581455616019,0.0001342315228785751,-0.0001990746464480983,7.060288160766767e-05,0.0007072835873836096,-0.00036536685972770976
0,-0.00042725440359432963,-0.00014501534425550902,0.00018373756186439754,-0.0001894895253524862,0.0003644991078144101,0.000670670655637043,-0.00042277212331902835
0,-0.0009146901691659603,6.881690609110499e-05,7.650409092330413e-05,-0.00022371273443689323,0.0007231445105720617,0.0005560564402016439,-0.0003851603519409445
0,0.0008270446647079907,-0.0006922596624022466,-0.0003006530561234277,-4.35046032766527e-05,0.0007450430174460503,0.00044146396303116746,-0.0004673536573737049
0,-0.0027041724826406817,-0.0015639803887155755,-0.0008084301963503026,-0.00022540020343806214,0.0004749197905419329,0.0003034731601470079,-0.00048324105586249305
0,-0.0028586868061940326,-0.0018827662686024713,-0.0008999115629452216,-0.0002760171065411502,0.00013935247184760412,0.00023533604073746527,-0.0005067228931774074
0,-0.004018073890640059,-0.0016004993028265184,-0.0012603178534512903,-0.0005619259174311918,0.0003753239608348306,0.0001411370479444569,-0.0004737578037273523
0,0.0008163485824805127,-0.0009472232711395643,-0.0005457072219712832,-0.00032515089611123845,0.0005799693710385214,0.0002155611605941806,-0.00037894547320517757
0,0.001449412573530787,-0.000710852241232649,-0.0003211644235265607,-3.9117770140482486e-05,0.00012018104440875482,0.0001729563971006394,-0.00022953952097307063
0,0.0018866480832292023,-0.0010770839408115022,-0.0008824349363111394,-0.00021359508792276097,0.0005454496462183493,0.00021731065614812581,-0.0002126694821518351
0,-0.0006453366462738894,8.4715738618699e-05,-0.0007400298063098837,-0.00030525636065394633,-0.0003035697901751974,0.00020572275250009062,-0.00015982788605100167
0,-0.000568034586895891,0.0004394540186087772,-0.0007241382926053623,-0.0005069189820207373,-0.00034397136380313046,0.0001921163128871084,-0.0001427035119196
0,-0.00018454275312619316,0.0008505304142043154,-0.00037906826431600185,-0.0004301480365631657,-0.0003622038093512495,0.0002292816514358795,-0.00018805955951705725
0,0.0011084441571196908,0.00023048077597049451,-0.00035902619784818356,-0.00029742565242967065,-0.00017248859365194875,0.00038139183582748174,-0.00018458995033410327
0,-0.0007381714725105726,-0.000652474069312063,-0.0006802717173088061,-0.0005917017701192487,-0.00017173359785822666,0.0002463407996983117,-0.0002121629614365962
0,0.0006769782478431102,0.0002460303502139633,-0.00041632178131627257,-0.00029308032909923715,-4.447035810246941e-05,0.0003192339245239024,-0.0002222025560775584
0,-0.0016111259065750862,-0.0002540196393739886,-8.471650876176448e-05,-0.00040603893906096213,-0.00027675810397553624,0.00019340811682253158,-0.00022705508036574912
0,0.00021577965415241828,-0.00026143483275664246,8.86649271624897e-05,-0.000611618980539857,-0.0002976731072647358,0.0002327079212339188,-0.00021005218374742484
0,-0.0019346722913938512,-0.000630811618362338,0.00010824982451983683,-0.0006019419838249806,-0.00022396966374179384,-2.5444269205939617e-05,-0.0002180327613868159
0,-0.00010794054512598587,-0.0008592723671376027,-0.00031498993286939767,-0.0005785499815746631,-0.00024192344537943923,8.370551487756503e-05,-0.00012102745995423398
0,-0.0022950356152050375,-0.0010403708135132844,-0.0008443859964778142,-0.0006248853640180353,-0.00044832192170485334,-6.642575802403348e-05,-0.00020650394523713558
0,-0.0013591020584802838,-0.0016429430492964903,-0.0006996689911026635,-0.0007402136088619271,-0.0006119565818211479,-5.255978483452207e-05,-0.00014891643166477393
0,-0.004195201836831427,-0.002150891942418935,-0.0012008166845098246,-0.0010662712533876947,-0.0007825020246610034,-9.937263537486108e-05,-0.0002484069911406675
0,-0.003520696105720232,-0.0028957456760332224,-0.001576319108035374,-0.0012673020390095997,-0.0008983861365823351,-0.0002417589685872609,-0.00020212290876075472
